date,weather_code,showers,precipitation_probability,precipitation,relative_humidity_600hPa,relative_humidity_700hPa,relative_humidity_500hPa,relative_humidity_400hPa,relative_humidity_200hPa,relative_humidity_300hPa,relative_humidity_800hPa,relative_humidity_150hPa,relative_humidity_250hPa,cloud_cover_low,wind_speed_100hPa,cloud_cover_mid,relative_humidity_850hPa,cloud_cover_high,wind_speed_50hPa,dew_point_2m,cloud_cover_500hPa,wind_speed_975hPa,cloud_cover_150hPa,cloud_cover_600hPa,cloud_cover_200hPa,cloud_cover,relative_humidity_2m,wind_speed_800hPa,wind_speed_925hPa,relative_humidity_900hPa,wind_speed_900hPa,cloud_cover_300hPa,wind_speed_850hPa,cloud_cover_700hPa,wind_speed_950hPa,cloud_cover_400hPa,relative_humidity_925hPa,wind_speed_1000hPa,temperature_100hPa,temperature_250hPa,cloud_cover_250hPa,temperature_850hPa,temperature_300hPa,relative_humidity_950hPa,wind_speed_700hPa,relative_humidity_100hPa,temperature_200hPa,wind_speed_30hPa,cloud_cover_925hPa,wind_speed_150hPa
2025-06-30 18:30:00+00:00,51.0,0.2,53.0,0.2,,,,,,,,,,100.0,,0.0,,82.0,,23.373554,,,,,,100.0,70.0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30 19:30:00+00:00,51.0,0.1,72.0,0.2,,,,,,,,,,100.0,,0.0,,100.0,,23.039913,,,,,,100.0,69.0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30 20:30:00+00:00,3.0,0.0,81.0,0.0,,,,,,,,,,100.0,,0.0,,100.0,,22.55465,,,,,,100.0,67.0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30 21:30:00+00:00,3.0,0.0,70.0,0.0,,,,,,,,,,77.0,,0.0,,100.0,,21.832626,,,,,,100.0,66.0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30 22:30:00+00:00,3.0,0.0,50.0,0.0,,,,,,,,,,18.0,,5.0,,100.0,,20.856737,,,,,,100.0,64.0,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30 23:30:00+00:00,3.0,0.0,32.0,0.0,,,,,,,,,,10.0,,5.0,,99.0,,20.919523,,,,,,99.0,65.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 00:30:00+00:00,2.0,0.0,22.0,0.0,,,,,,,,,,0.0,,5.0,,55.0,,21.60808,,,,,,68.0,69.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 01:30:00+00:00,2.0,0.0,14.0,0.0,,,,,,,,,,0.0,,5.0,,62.0,,22.917227,,,,,,67.0,73.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 02:30:00+00:00,3.0,0.0,10.0,0.0,,,,,,,,,,54.0,,5.0,,100.0,,23.45734,,,,,,100.0,72.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 03:30:00+00:00,3.0,0.0,10.0,0.0,,,,,,,,,,61.0,,5.0,,89.0,,23.03149,,,,,,97.0,64.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 04:30:00+00:00,3.0,0.0,12.0,0.0,,,,,,,,,,54.0,,5.0,,73.0,,22.629599,,,,,,89.0,59.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 05:30:00+00:00,3.0,0.0,13.0,0.0,,,,,,,,,,80.0,,5.0,,33.0,,21.797361,,,,,,89.0,53.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 06:30:00+00:00,3.0,0.0,9.0,0.0,,,,,,,,,,85.0,,5.0,,100.0,,21.304874,,,,,,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 07:30:00+00:00,3.0,0.0,4.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,21.169016,,,,,,100.0,51.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 08:30:00+00:00,3.0,0.0,0.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,21.352743,,,,,,100.0,51.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 09:30:00+00:00,3.0,0.0,0.0,0.0,,,,,,,,,,100.0,,0.0,,100.0,,21.260878,,,,,,100.0,51.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 10:30:00+00:00,3.0,0.0,1.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,21.70506,,,,,,100.0,53.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 11:30:00+00:00,3.0,0.0,6.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,21.612751,,,,,,100.0,53.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 12:30:00+00:00,3.0,0.0,18.0,0.0,,,,,,,,,,100.0,,0.0,,100.0,,22.034336,,,,,,100.0,55.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 13:30:00+00:00,3.0,0.0,35.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,22.342068,,,,,,100.0,57.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 14:30:00+00:00,3.0,0.0,48.0,0.0,,,,,,,,,,100.0,,5.0,,100.0,,23.07275,,,,,,100.0,62.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 15:30:00+00:00,3.0,0.0,56.0,0.0,,,,,,,,,,100.0,,100.0,,100.0,,23.193258,,,,,,100.0,65.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 16:30:00+00:00,51.0,0.3,61.0,0.3,,,,,,,,,,100.0,,69.0,,89.0,,23.505516,,,,,,100.0,67.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 17:30:00+00:00,3.0,0.0,61.0,0.0,,,,,,,,,,38.0,,5.0,,72.0,,23.315353,,,,,,86.0,67.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 18:30:00+00:00,3.0,0.0,55.0,0.0,,,,,,,,,,9.0,,5.0,,100.0,,23.32623,,,,,,100.0,69.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 19:30:00+00:00,3.0,0.0,44.0,0.0,,,,,,,,,,23.0,,88.0,,100.0,,23.321436,,,,,,100.0,71.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 20:30:00+00:00,3.0,0.0,35.0,0.0,,,,,,,,,,9.0,,100.0,,100.0,,23.397861,,,,,,100.0,73.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 21:30:00+00:00,3.0,0.0,30.0,0.0,,,,,,,,,,12.0,,100.0,,100.0,,23.334665,,,,,,100.0,74.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 22:30:00+00:00,3.0,0.0,27.0,0.0,,,,,,,,,,15.0,,100.0,,100.0,,23.460749,,,,,,100.0,75.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01 23:30:00+00:00,3.0,0.0,23.0,0.0,,,,,,,,,,24.0,,100.0,,100.0,,23.48731,,,,,,100.0,76.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02 00:30:00+00:00,3.0,0.0,14.0,0.0,,,,,,,,,,9.0,,100.0,,100.0,,23.48731,,,,,,100.0,76.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02 01:30:00+00:00,3.0,0.0,4.0,0.0,,,,,,,,,,20.0,,100.0,,100.0,,23.460749,,,,,,100.0,75.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02 02:30:00+00:00,3.0,0.0,3.0,0.0,,,,,,,,,,30.0,,59.0,,100.0,,23.590105,,,,,,100.0,73.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02 03:30:00+00:00,3.0,0.0,17.0,0.0,,,,,,,,,,42.0,,79.0,,100.0,,23.517107,,,,,,100.0,69.0,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02 04:30:00+00:00,51.0,0.2,39.0,0.2,,,,,,,,,,65.0,,8.0,,100.0,,23.220558,,,,,,100.0,64.0,,,,,,,,,,,,,,,,,,,,,,,
