time,temperature_2m (°C),relative_humidity_2m (%),weather_code (wmo code),pressure_msl (hPa),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),dew_point_2m (°C),cloud_cover (%),next3h_max_weathercode
2025-07-01T00:00,27.9,84,3,1000.0,30.1,2,0.0,991.1,31.6,227,43.9,25.0,100,3.0
2025-07-01T01:00,27.6,85,3,999.5,29.8,0,0.0,990.6,30.9,228,43.2,24.9,100,3.0
2025-07-01T02:00,27.5,85,3,999.0,29.6,0,0.0,990.1,31.3,227,43.2,24.8,100,3.0
2025-07-01T03:00,27.4,86,3,998.6,29.8,0,0.0,989.7,29.6,229,43.2,24.9,100,3.0
2025-07-01T04:00,27.4,85,3,998.6,29.9,0,0.0,989.7,28.2,231,41.0,24.7,100,3.0
2025-07-01T05:00,27.3,85,3,999.0,30.0,0,0.0,990.1,26.3,237,39.2,24.6,100,3.0
2025-07-01T06:00,27.3,85,3,999.6,30.2,0,0.0,990.7,25.1,235,37.4,24.6,100,3.0
2025-07-01T07:00,27.8,82,3,1000.1,30.2,0,0.0,991.2,27.5,233,37.4,24.5,100,3.0
2025-07-01T08:00,28.8,76,3,1000.6,30.8,0,0.0,991.7,29.2,235,33.8,24.2,100,3.0
2025-07-01T09:00,29.9,70,3,1000.9,31.9,0,0.0,992.0,28.2,235,31.3,23.9,100,3.0
2025-07-01T10:00,31.1,65,3,1000.6,33.1,0,0.0,991.8,29.5,231,32.0,23.8,100,51.0
2025-07-01T11:00,31.6,63,51,1000.6,34.2,0,0.1,991.8,29.0,232,31.0,23.7,81,51.0
2025-07-01T12:00,32.1,61,51,1000.1,34.6,1,0.1,991.3,28.0,228,30.2,23.7,100,51.0
2025-07-01T13:00,32.6,59,3,999.3,35.0,2,0.0,990.5,29.0,227,29.9,23.6,100,51.0
2025-07-01T14:00,32.9,59,51,998.7,35.4,3,0.1,989.9,30.8,225,30.2,23.9,99,51.0
2025-07-01T15:00,32.7,60,51,998.4,34.7,3,0.1,989.6,31.1,224,31.0,24.0,72,51.0
2025-07-01T16:00,32.4,61,51,998.3,33.9,3,0.1,989.5,31.8,225,31.7,24.0,93,51.0
2025-07-01T17:00,31.7,63,3,998.5,33.3,3,0.0,989.7,30.6,224,31.0,23.8,98,51.0
2025-07-01T18:00,30.9,66,3,998.9,32.3,2,0.0,990.1,31.8,224,32.8,23.9,100,3.0
2025-07-01T19:00,29.9,71,3,999.5,31.8,1,0.0,990.6,29.5,224,32.8,24.1,100,3.0
2025-07-01T20:00,29.2,76,3,999.8,31.6,0,0.0,990.9,28.0,225,34.9,24.6,100,3.0
2025-07-01T21:00,28.7,80,3,999.9,31.3,0,0.0,991.0,28.3,229,36.0,25.0,100,3.0
2025-07-01T22:00,28.5,82,3,1000.2,31.5,0,0.0,991.3,26.8,228,36.0,25.2,100,51.0
2025-07-01T23:00,28.3,83,51,1000.3,31.3,0,0.1,991.4,26.9,235,37.1,25.2,100,51.0
2025-07-02T00:00,28.1,84,3,1000.0,31.2,1,0.0,991.1,26.1,235,37.4,25.2,100,51.0
2025-07-02T01:00,27.9,85,51,999.6,31.1,2,0.1,990.7,25.2,236,35.3,25.2,70,51.0
2025-07-02T02:00,27.8,86,51,999.0,31.5,3,0.1,990.1,22.7,229,33.8,25.3,100,51.0
2025-07-02T03:00,27.9,84,51,998.5,30.8,2,0.1,989.6,26.3,234,38.2,25.0,100,51.0
2025-07-02T04:00,27.7,84,3,998.5,30.7,1,0.0,989.6,25.1,238,37.8,24.8,100,51.0
2025-07-02T05:00,27.7,82,3,998.6,30.8,0,0.0,989.7,22.7,243,37.4,24.4,100,3.0
2025-07-02T06:00,27.7,81,3,999.0,30.8,1,0.0,990.1,21.6,244,35.3,24.2,100,3.0
2025-07-02T07:00,28.2,78,3,999.8,31.1,2,0.0,990.9,22.7,250,33.1,24.0,100,3.0
2025-07-02T08:00,28.9,73,3,1000.3,31.3,3,0.0,991.4,23.8,252,29.5,23.6,100,51.0
2025-07-02T09:00,29.8,69,51,1000.6,32.4,3,0.1,991.7,22.1,246,25.9,23.5,100,51.0
2025-07-02T10:00,29.9,69,3,1000.6,32.5,3,0.0,991.7,22.6,241,25.2,23.6,100,51.0
2025-07-02T11:00,30.3,67,3,1000.3,32.3,3,0.0,991.5,26.3,237,27.4,23.5,100,3.0
2025-07-02T12:00,32.0,60,3,1000.0,35.3,2,0.0,991.2,25.1,238,25.2,23.3,100,3.0
2025-07-02T13:00,32.8,57,3,999.4,36.0,1,0.0,990.6,24.2,240,23.8,23.2,100,3.0
2025-07-02T14:00,32.7,58,3,998.9,34.6,0,0.0,990.1,26.3,247,23.8,23.4,100,51.0
2025-07-02T15:00,32.2,60,51,999.0,35.2,0,0.1,990.2,19.3,249,16.9,23.5,100,51.0
2025-07-02T16:00,31.7,61,51,998.5,34.5,0,0.1,989.7,19.8,245,19.8,23.3,100,51.0
2025-07-02T17:00,31.4,63,3,997.5,33.6,0,0.0,988.7,25.5,237,24.5,23.6,100,51.0
2025-07-02T18:00,30.7,66,3,998.3,33.6,2,0.0,989.5,21.1,247,21.2,23.7,100,3.0
2025-07-02T19:00,29.9,70,3,998.4,32.5,5,0.0,989.6,23.5,241,27.0,23.9,100,3.0
2025-07-02T20:00,28.0,86,3,998.9,33.4,3,0.0,990.0,10.5,232,25.6,25.4,100,3.0
